Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/pen-america-los-angeles/,74,65,0:00:47,48,39.58%,32.43%,$0.00 
/precious-time/,74,68,0:05:50,68,91.18%,90.54%,$0.00 
/tyranny-of-parents-banning-shel-silverstein/,74,66,0:11:29,66,86.36%,87.84%,$0.00 
/dare-fact-checking-trump-usa-today-op-ed/,72,63,0:03:51,49,87.76%,73.61%,$0.00 
/event/stories-untold-reporting-on-family-separation-and-immigration-policy/,72,63,0:03:05,51,88.24%,72.22%,$0.00 
/translation-programs/,72,70,0:07:15,64,96.88%,88.89%,$0.00 
/press-freedom-incentive-fund/,71,62,0:05:13,29,62.07%,50.70%,$0.00 
/about-us/faq/,70,63,0:01:44,3,100.00%,40.00%,$0.00 
/event/can-we-talk-student-dialogue-politics-free-speech-on-campus/,70,56,0:07:07,45,82.22%,72.86%,$0.00 
/about-us/employment-opportunities/internships/,65,48,0:01:13,15,13.33%,20.00%,$0.00 
/dare-trump-jamal-khashoggi-investigation-wont-halt-saudi-arms-sales/,65,64,0:03:29,48,97.92%,84.62%,$0.00 
/out-and-out/,65,59,0:05:12,59,88.14%,89.23%,$0.00 
/pen-authors-evenings/,65,53,0:00:24,28,53.57%,35.38%,$0.00 
/literary-award/penheim-translation-fund-grants-2000-4000/,64,56,0:01:38,37,78.38%,65.62%,$0.00 
/literary-gala/,64,57,0:01:28,11,9.09%,14.06%,$0.00 
/five-poems-by-joshua-jennifer-espinoza/,60,56,0:06:44,56,85.71%,86.67%,$0.00 
/advocacy-case/shahidul-alam/,58,56,0:02:12,6,66.67%,43.10%,$0.00 
/mentoring-program/,56,50,0:03:04,34,88.24%,67.86%,$0.00 
/press-room/,56,48,0:00:29,4,25.00%,17.86%,$0.00 
/human-resources-manager/,54,49,0:01:25,27,77.78%,62.96%,$0.00 
/press-release/karen-kilgariff-georgia-hardstark-host-2018-litfest-gala/,53,53,0:04:03,38,84.21%,69.81%,$0.00 
/on-beauty-banning-toni-morrisons-the-bluest-eye/,52,47,0:02:19,46,86.96%,82.69%,$0.00 
/2018finalists/,51,45,0:03:08,26,61.54%,52.94%,$0.00 
/dare-trump-vows-severe-punishment-saudi-jamal-khashoggi/,51,48,0:01:36,39,82.05%,78.43%,$0.00 
/on-tim-obriens-the-things-they-carried/,51,46,0:08:19,45,88.89%,88.24%,$0.00 
/dare-literary-group-sues-trump-alleges-free-speech-stifling/,50,44,0:02:25,22,90.91%,64.00%,$0.00 
/event/lit-crawl-brooklyn-2018/,50,49,0:01:56,41,85.37%,76.00%,$0.00 
/grants-awards-residencies/,50,44,0:01:15,43,76.74%,72.00%,$0.00 
/on-alice-walkers-the-color-purple/,50,46,0:08:27,45,88.89%,90.00%,$0.00 
/pen-america-v-trump/?mc_cid=c1e1ff0cdf&mc_eid=71f29fd6c0,50,47,0:01:45,47,95.74%,94.00%,$0.00 
/press-clip/pro-free-speech-way-fight-fake-news/,50,48,0:10:10,48,95.83%,96.00%,$0.00 
/a-day-in-the-life-of-a-prisoner/,49,43,0:00:26,42,92.86%,87.76%,$0.00 
/current-members/childrens-and-young-adult-book-authors/,47,42,0:00:44,0,0.00%,25.53%,$0.00 
/prison-diary/,46,40,0:03:14,39,82.05%,84.78%,$0.00 
/prison-writing-award-winners-archive/,46,20,0:00:06,6,50.00%,13.04%,$0.00 
/windeye/,46,41,0:09:50,40,87.50%,89.13%,$0.00 
/benefits/,45,22,0:00:48,7,28.57%,24.44%,$0.00 
/current-members/pen-america-writers-schools-committee/,45,43,0:01:20,8,75.00%,33.33%,$0.00 
/press-room/press-releases/,45,28,0:02:00,12,16.67%,20.00%,$0.00 
/2018-pen-robert-j-dau-short-story-prize-emerging-writers/,44,36,0:03:39,29,62.07%,56.82%,$0.00 
/director-us-free-expression-programs/,44,39,0:00:48,10,60.00%,38.64%,$0.00 
/event/reyna-grande-conversation-kirin-khan/,44,41,0:03:45,33,84.85%,75.00%,$0.00 
/focus-regions/,44,38,0:00:10,3,33.33%,20.45%,$0.00 
/publications/pen-poetry-series/,44,32,0:04:13,19,57.89%,40.91%,$0.00 
/from-whereas/,43,42,0:05:15,42,95.24%,95.35%,$0.00 
/on-charles-baudelaires-les-fleurs-del-mal/,43,36,0:04:31,36,88.89%,83.72%,$0.00 
/event/pen-america-2018-boston-book-festival/,42,35,0:02:04,27,85.19%,59.52%,$0.00 
/multimedia/walter-mosley-reads-wants-by-grace-paley/,42,28,0:01:14,28,67.86%,59.52%,$0.00 
/on-william-faulkners-as-i-lay-dying/,42,36,0:05:52,35,88.57%,85.71%,$0.00 
/press-release/three-journalists-eleven-media-myanmar-must-be-released/,42,39,0:03:59,30,93.33%,80.95%,$0.00 
/open-letter-google-concerns-project-dragonfly/,41,37,0:09:03,34,91.18%,87.80%,$0.00 
/suzanne-nossel-statement-first-amendment-campus/?mc_cid=b8f984d652&mc_eid=,41,41,0:00:00,41,100.00%,100.00%,$0.00 
/the-summer-i-lost-my-innocence/,41,41,0:00:00,41,100.00%,100.00%,$0.00 
/event-series/,40,32,0:00:17,2,50.00%,15.00%,$0.00 
/2019-world-voices-festival-international-literature-internships/,39,32,0:00:59,18,61.11%,48.72%,$0.00 
/on-james-baldwins-go-tell-it-on-the-mountain/,39,28,0:06:40,27,77.78%,69.23%,$0.00 
/litfest-gala/2018-litfest-gala-tickets/tribute-journal-sponsorship-opportunities/,38,35,0:00:54,21,85.71%,78.95%,$0.00 
/prison-writing-award-winners-2018/,38,30,0:00:53,16,37.50%,31.58%,$0.00 
/research-resources/forbidden-feeds/,38,33,0:01:30,27,85.19%,78.95%,$0.00 
/about-us/programs/,37,31,0:00:53,6,66.67%,21.62%,$0.00 
/events-calendar/?cal=2018-11,37,29,0:00:46,0,0.00%,27.03%,$0.00 
/literary-awards/faq/,36,33,0:01:14,5,20.00%,30.56%,$0.00 
/equity-in-publishing-what-should-editors-be-doing/,35,34,0:02:56,34,97.06%,97.14%,$0.00 
/on-kurt-vonneguts-slaughterhouse-five/,35,30,0:04:39,29,89.66%,82.86%,$0.00 
/the-technological-revolution/,35,32,0:09:27,32,90.62%,91.43%,$0.00 
/advocacy-campaign/campus-speech/,34,29,0:04:02,14,64.29%,50.00%,$0.00 
/event-series/pen-out-loud/,34,17,0:00:18,11,9.09%,8.82%,$0.00 
/annual-prison-writing-contest/,33,29,0:01:27,18,50.00%,45.45%,$0.00 
/inappropriate-appropriation/,33,23,0:02:30,23,69.57%,69.70%,$0.00 
/press-release/reported-assassination-jamal-khashoggi-if-confirmed-abomination/,33,31,0:01:57,14,92.86%,66.67%,$0.00 
/the-best-we-could-do/,33,33,0:15:19,33,96.97%,96.97%,$0.00 
/dare-washington-post-blank-column-saudi-columnist-missing-turkey/,32,29,0:00:40,27,88.89%,84.38%,$0.00 
/event/authoring-advocacy-theresa-martinez-rachel-kushner/,32,32,0:06:06,15,80.00%,71.88%,$0.00 
/literary-award/penphyllis-naylor-working-writer-fellowship-5000/,32,28,0:00:51,6,66.67%,40.62%,$0.00 
/pen-america-v-trump/?mc_cid=c1e1ff0cdf&mc_eid=897d7c28d0,32,31,0:03:20,31,90.32%,90.62%,$0.00 
/subscribe-free-expression-news/,32,29,0:00:47,23,82.61%,71.88%,$0.00 
/?page_id=164278&preview=true,31,5,0:01:27,3,33.33%,9.68%,$0.00 
/a-kentucky-of-mothers/,31,30,0:01:40,30,96.67%,96.77%,$0.00 
/five-poems-by-wendy-trevino/,31,30,0:08:37,29,89.66%,90.32%,$0.00 
/literary-award/penjean-stein-grant-for-literary-oral-history-10000/,31,26,0:00:31,11,72.73%,45.16%,$0.00 
/pen-america-boston-representative/,31,27,0:03:46,6,66.67%,48.39%,$0.00 
/press-release/viktoria-marinova-death/,31,30,0:02:53,13,69.23%,58.06%,$0.00 
/bad-friends/,30,27,0:04:01,11,100.00%,60.00%,$0.00 
/baltics/,30,27,0:04:40,27,88.89%,90.00%,$0.00 
/family-secrets/,30,30,0:00:00,29,100.00%,100.00%,$0.00 
/literary-award/penjoyce-osterweil-award-for-poetry-5000/,30,22,0:02:54,17,47.06%,36.67%,$0.00 
/event/los-angeles-book-club-the-sellout/,29,24,0:03:11,12,58.33%,48.28%,$0.00 
/event/womens-literary-workshop/,29,26,0:02:38,10,80.00%,37.93%,$0.00 
/literary-award/pen-translation-prize-3000/,29,27,0:04:10,23,60.87%,55.17%,$0.00 
/take-action/petitions/,29,18,0:00:07,2,50.00%,10.34%,$0.00 
/user/thomas-melia/,29,26,0:00:44,5,20.00%,27.59%,$0.00 
/?p=122216,28,22,0:00:07,1,100.00%,17.86%,$0.00 
/2018-hemingway-finalists/,28,24,0:01:03,22,59.09%,57.14%,$0.00 
/on-boris-pasternaks-doctor-zhivago/,28,26,0:02:29,26,88.46%,89.29%,$0.00 
/order-the-handbook-for-writers-in-prison/,28,25,0:00:25,9,44.44%,39.29%,$0.00 
/pen-america-boston/,28,26,0:02:09,6,50.00%,32.14%,$0.00 
/the-power-of-the-pen-salman-rushdie/,28,24,0:06:47,24,83.33%,82.14%,$0.00 
/event/winter-2018-authors-evening-tara-westover/,27,23,0:00:37,22,90.91%,81.48%,$0.00 
/pen-award-poetry-translation/,27,17,0:00:27,8,62.50%,33.33%,$0.00 
/press-release/pen-america-national-expansion-press-freedom/,27,20,0:03:06,14,64.29%,55.56%,$0.00 
/revisiting-the-racial-mountain/,27,25,0:12:48,25,96.00%,92.59%,$0.00 
/two-poems-by-cathy-park-hong/,27,26,0:15:01,25,96.00%,92.59%,$0.00 
/advocacy-case/oleg-sentsov/,26,25,0:03:18,15,86.67%,61.54%,$0.00 
/call-submissions-2018-literary-awards/,26,24,0:01:45,13,69.23%,53.85%,$0.00 
/how-to-kill-someone/,26,26,0:00:18,21,100.00%,96.15%,$0.00 
/literary-award/pen-hemingway-award-25000/,25,20,0:02:30,6,33.33%,28.00%,$0.00 
/literary-award/pen-open-book-award-5000/,25,19,0:01:06,8,50.00%,48.00%,$0.00 
/pen-america-a-journal-for-writers-and-readers/,25,18,0:00:35,15,53.33%,44.00%,$0.00 
/two-poems-mario-de-andrade/,25,24,0:02:18,23,82.61%,80.00%,$0.00 
/about-us/employment-opportunities/internships/page/2/,24,21,0:00:32,1,100.00%,20.83%,$0.00 
/blog/,24,21,0:00:35,5,40.00%,20.83%,$0.00 
/dare-trump-administration-tax-protests-free-speech/,24,24,0:00:00,22,100.00%,100.00%,$0.00 
/defining-socially-engaged-fiction/,24,24,0:02:56,8,87.50%,66.67%,$0.00 
/event/ae-fall-2018-sheehan/,24,18,0:03:40,4,75.00%,29.17%,$0.00 
/literary-awards/history/,24,14,0:00:23,0,0.00%,0.00%,$0.00 
